input_text,match_id,judgment
SARS-CoV-2 spike protein displays sequence similarities with paramyxovirus surface proteins  a bioinformatics study,9761,True
SARS-CoV-2 spike protein displays sequence similarities with paramyxovirus surface proteins  a bioinformatics study,3762,False
Effect of Different Disease-Modifying Therapies on Humoral Response to BNT162b2 Vaccine in Sardinian Multiple Sclerosis Patients,3159,True
Effect of Different Disease-Modifying Therapies on Humoral Response to BNT162b2 Vaccine in Sardinian Multiple Sclerosis Patients,3160,False
APOBEC-mediated Editing of SARS-CoV-2 Genomic RNA Impacts Viral Replication and Fitness,1489,True
APOBEC-mediated Editing of SARS-CoV-2 Genomic RNA Impacts Viral Replication and Fitness,1490,False
PEDIATRIC NEPHROLOGY IN THE TIME OF CORONA,2987,True
PEDIATRIC NEPHROLOGY IN THE TIME OF CORONA,2988,False
Postoperative Outcomes Analysis After Pancreatic Duct Occlusion  A Safe Option to Treat the Pancreatic Stump After Pancreaticoduodenectomy in Low-Volume Centers,812,True
Postoperative Outcomes Analysis After Pancreatic Duct Occlusion  A Safe Option to Treat the Pancreatic Stump After Pancreaticoduodenectomy in Low-Volume Centers,813,False
Employee mindfulness and proactive coping for technostress in the COVID-19 outbreak  The roles of regulatory foci  technostress  and job insecurity,1882,True
Employee mindfulness and proactive coping for technostress in the COVID-19 outbreak  The roles of regulatory foci  technostress  and job insecurity,1883,False
The 2021 Neurosurgery Match  An analysis of the impact of virtual interviewing and other COVID-19 related changes,9267,True
The 2021 Neurosurgery Match  An analysis of the impact of virtual interviewing and other COVID-19 related changes,3268,False
Social distanciation through COVID-19  A narrative analysis of Indian Peri-Urban Elderly,4936,True
Social distanciation through COVID-19  A narrative analysis of Indian Peri-Urban Elderly,4937,False
Differences in pregnancy and perinatal outcomes among symptomatic versus asymptomatic COVID-19-infected pregnant women  a systematic review and meta-analysis,9935,True
Differences in pregnancy and perinatal outcomes among symptomatic versus asymptomatic COVID-19-infected pregnant women  a systematic review and meta-analysis,3936,False
Symptom changes in patients with pre-existing psychiatric disorders in the initial phase of the COVID-19 pandemic  Vulnerability of female patients and patients with mood disorders,1940,True
Symptom changes in patients with pre-existing psychiatric disorders in the initial phase of the COVID-19 pandemic  Vulnerability of female patients and patients with mood disorders,1941,False
