catalog_id,text
0,The Key to the Dow's Bull Market? Energy Stocks
1,Dollar tumbles against yen
2,Google Drive price cuts signal start of Cloud Storage Wars - What will Dropbox
3,"Gov. Cuomo Unveils Plan To Combat HIV, AIDS"
4,China Credit Gauge Declines as Officials Seek to Tame Debt Boom
5,Archie comic banned in Singapore due to same-sex marriage depiction
6,4th of July Gas Prices Pump Up at its Highest Since 2008
7,"iPad Pro UK release date, specs, features and rumours; 12.9in iPad Pro on track"
8,Foster Farms Issues Another Recall over Salmonella Fears
9,Lamar Odom Finally Agrees to Divorce Reality TV Star Khloe Kardashian
10,Ford Mustang Celebrates 50 Years with Limited-Run Special
11,'The Avengers: Age Of Ultron' Video: Joss Whedon Apologizes To Seoul On A
12,"Norfolk Southern railroad to report 1Q earnings Wednesday, detail impact of"
13,Two Senators Have A Simple And Very Unpopular Idea For Saving The Highway
14,A cure for jet lag? Perhaps mathematics and an app can help
15,"Amazon Prime Music launches, gives subscribers a million tunes to stream"
16,Opie & Anthony Host Calls Black Woman a 'Savage' During Racist Twitter Rant
17,Want to date Lindsay Lohan? Tinder's new verified account will make it easier for
18,Apple smart home questioned
19,Chrysler Recalls 780K Minivans Over Window Switch Defect
20,Thousands Protest For Higher Wages At McDonald's Company Shareholder
21,Another Sexual Abuse Lawsuit Filed Against Bryan Singer
22,Jet magazine ending print edition
23,LG Teases Round Smartwatch For IFA Showing
24,Ford's Answer To Cadillac's Classist And Greedy Commercial Is Perfect
25,Manhattan Building Explosion Update: At Least Two People Have Been Killed
26,"Sales Of Nest Protect Resume At Lower Price, Minus Potentially Unsafe Feature"
27,Marvel cranks up sarcasm and '70s sound for Guardians of Galaxy
28,DA Davidson Does Not See Another Bidder Emerging for Cbeyond
29,Kim Kardashian And Kanye West Vogue Cover: Couple Held 'Top Secret Shoot
30,Scientists identify 'high-priority' chemicals that may cause breast cancer
31,"Crews work to reopen Ohio, Ontario ramps later today"
32,Belle Knox In New York City: A Party Report
33,Facebook to build second data center in Altoona
34,Twitter Inc Is Reportedly Removing @Replies And #Hashtags
35,"Ryan Gosling and Eva Mendes going to be parents, reports say"
36,'Ill-fated' Malaysian Airlines mulls changing name to boost reputation
37,Which Quicksilver Look is Better?
38,Morrissey Knocked To The Ground By Stage Invader At San Jose Concert
39,One in five Ivy Leagues students use ADHD medications to get ahead
40,"Laughs, tears mark annual cancer survivor dinner"
41,Harry Potter Star Rupert Grint Heads to Broadway
42,"Not So Yum! Waffle Tacos Can't Stem Bleeding At KFC, Pizza Hut"
43,"O'Shea Jackson Jr., Marcus Callender, Jason Mitchell Join NWA Movie Cast"
44,"So, You Still Haven't Filed? IRS Offers Very Last Minute Tax Tips as April 15 Nears"
45,"Chinese boat accused of ramming, sinking Vietnamese fishing boat"
46,"Oprah Winfrey, 60, declares age is just a number in a stunning tight red gown"
47,Homer Simpson Takes On The ALS Ice Bucket Challenge! (Video)
48,More Texas homeowners getting out from being underwater on mortgages
49,PM Erdogan gets international rap ahead of elections over blocking of Twitter in
50,Angus T. Jones is still badmouthing 'Two and a Half Men' one year after he quit
51,Another Kardashian hits Paris ahead of the big wedding
52,Apple plans to release 'Smart Home' software in June
53,Ariana Grande - Break Free Ft. Zedd
54,Starbucks Takes Warren Buffett's Advice to Heart
55,FTC Regulators Independently Back Tesla's Direct Sales Model
56,'Mad Men' Review: Nip It in the Bud
57,FTC inquiry into Herbalife prompts big share selloff
58,"Loonie up, March retail sales miss expectations, traders look to inflation data"
59,Allergy Season Set to Peak the Next Couple Weeks
60,SunTrust Bank Reaches $320 Mln Settlement With DoJ On HAMP Program
61,Bryan Singer withdraws from X-Men promo over 'completely false' claims he
62,"Climate Change Making Food Crops Less Nutritious, Research Finds"
63,Yawning continues to puzzle the experts
64,"Rising CO2 levels may cut nutrient levels in crops, study finds"
65,WhatsApp boss on Facebook privacy fears: 'Our principles will not change'
66,Duke Energy tells SC the utility's coal ash ponds are safe; environmentalists
67,"Prince announces not one, but two, new studio albums"
68,Bachelorette Andi Dorfman Resigns From Job With District Attorney
69,Ebola outbreak thought to have spread to Sierra Leone
70,Reading Rainbow Raising $1 Million to Return As Online Show
71,"New Transformers 4 Trailer Premiering Thursday, May 15"
72,"Intel Security (McAfee), Positioned in the Leaders Quadrant for Secure Web"
73,Box Office: '22 Jump Street' Soars to $25M Friday; 'Dragon 2' Hits $18.5M
