input_text,match_id,judgment
"Linn Energy (LINE) to Acquire US non-Core Oil, Gas Assets of Devon Energy",0,True
"Linn Energy (LINE) to Acquire US non-Core Oil, Gas Assets of Devon Energy",1,False
Western Digital My Cloud EX2 Review: Cloud Storage Simplicity,2,True
Western Digital My Cloud EX2 Review: Cloud Storage Simplicity,3,False
China central bank to get tough on shadow financing,4,True
China central bank to get tough on shadow financing,5,False
Gas prices in region rise 2 cents this week,6,True
Gas prices in region rise 2 cents this week,7,False
Did you freeze Foster Farms chicken in March? Some being recalled,8,True
Did you freeze Foster Farms chicken in March? Some being recalled,9,False
Putting a 2015 Ford Mustang on Top of The Empire State Building,10,True
Putting a 2015 Ford Mustang on Top of The Empire State Building,11,False
Norfolk Southern Shows EPS Estimates Down In Past Month,12,True
Norfolk Southern Shows EPS Estimates Down In Past Month,13,False
Math used to counteract jet lag,14,True
Math used to counteract jet lag,15,False
"Anthony Cumia of the ""Opie and Anthony show"" assaulted",16,True
"Anthony Cumia of the ""Opie and Anthony show"" assaulted",17,False
iPhone 6 Will Cost Apple Fans Big,18,True
iPhone 6 Will Cost Apple Fans Big,19,False
Dozens arrested in fast food workers protest outside McDonald's HQ,20,True
Dozens arrested in fast food workers protest outside McDonald's HQ,21,False
Johnson Publishing said to take Jet Magazine digital-only in June,22,True
Johnson Publishing said to take Jet Magazine digital-only in June,23,False
Ford Mocks Cadillac With Lame Parody of 'Poolside' Ad,24,True
Ford Mocks Cadillac With Lame Parody of 'Poolside' Ad,25,False
Nest Protect Is Back On The Shelves With a Way Cheaper Price Tag,26,True
Nest Protect Is Back On The Shelves With a Way Cheaper Price Tag,27,False
Cbeyond Inc.: Birch Communications to Acquire Cbeyond,28,True
Cbeyond Inc.: Birch Communications to Acquire Cbeyond,29,False
ALAMIN | Study lists dangerous chemicals linked to breast cancer,30,True
ALAMIN | Study lists dangerous chemicals linked to breast cancer,31,False
Duke student porn star Belle Knox 'watching adult films since aged 12',32,True
Duke student porn star Belle Knox 'watching adult films since aged 12',33,False
Twitter Inc (NYSE:TWTR): Monetize or Perish,34,True
Twitter Inc (NYSE:TWTR): Monetize or Perish,35,False
"AP Essay: When disasters don't stick to script, world struggles to give shape to grief",36,True
"AP Essay: When disasters don't stick to script, world struggles to give shape to grief",37,False
Who would you cast in the Morrissey biopic?,38,True
Who would you cast in the Morrissey biopic?,39,False
"Laughs, tears mark annual cancer survivor dinner",40,True
"Laughs, tears mark annual cancer survivor dinner",41,False
Yum Brands Will Go Higher (YUM),42,True
Yum Brands Will Go Higher (YUM),43,False
Here comes the taxman,44,True
Here comes the taxman,45,False
